name,value,year,lastValue,rank
Belgium,1325,2017/12,1325,5
Spain,1231,2017/12,1231,6
Poland,1209,2017/12,1209,7
Switzerland,1190,2017/12,1190,8
France,1183,2017/12,1183,9
Chile,1162,2017/12,1162,10
Peru,1128,2017/12,1128,11
Denmark,1099,2017/12,1099,12
Colombia,1078,2017/12,1078,13
Italy,1052,2017/12,1052,14
England,1047,2017/12,1047,15
Mexico,1032,2017/12,1032,16
Croatia,1018,2017/12,1018,17
Sweden,998,2017/12,998,18
Wales,985,2017/12,985,19
Netherlands,952,2017/12,952,20
